READ: DEBUG: X63.0000, Y-27.0000, Z-0.3688
READ: DEBUG: X72.0000, Y-27.0000, Z-0.5188
READ: DEBUG: X81.0000, Y-27.0000, Z-0.6000
READ: DEBUG: X81.0000, Y-18.0000, Z-0.6313
READ: DEBUG: X72.0000, Y-18.0000, Z-0.4875
READ: DEBUG: X63.0000, Y-18.0000, Z-0.3688
READ: DEBUG: X54.0000, Y-18.0000, Z-0.2938
READ: DEBUG: X45.0000, Y-18.0000, Z-0.2125
READ: DEBUG: X36.0000, Y-18.0000, Z-0.1875
READ: DEBUG: X27.0000, Y-18.0000, Z-0.0813
READ: DEBUG: X18.0000, Y-18.0000, Z-0.0437
READ: DEBUG: X9.0000, Y-18.0000, Z0.0125
READ: DEBUG: X0.0000, Y-18.0000, Z0.0063
READ: DEBUG: X-9.0000, Y-18.0000, Z0.0562
READ: DEBUG: X-18.0000, Y-18.0000, Z-0.0188
READ: DEBUG: X-27.0000, Y-18.0000, Z0.0687
READ: DEBUG: X-36.0000, Y-18.0000, Z-0.1875
READ: DEBUG: X-45.0000, Y-18.0000, Z-0.2250
READ: DEBUG: X-54.0000, Y-18.0000, Z-0.3375
READ: DEBUG: X-63.0000, Y-18.0000, Z-0.4438
READ: DEBUG: X-72.0000, Y-18.0000, Z-0.5562
READ: DEBUG: X-81.0000, Y-18.0000, Z-0.7563
READ: DEBUG: X-81.0000, Y-9.0000, Z-0.7000
READ: DEBUG: X-72.0000, Y-9.0000, Z-0.5625
READ: DEBUG: X-63.0000, Y-9.0000, Z-0.3875
READ: DEBUG: X-54.0000, Y-9.0000, Z-0.2750
READ: DEBUG: X-45.0000, Y-9.0000, Z-0.2375
READ: DEBUG: X-36.0000, Y-9.0000, Z-0.1875
READ: DEBUG: X-27.0000, Y-9.0000, Z-0.0875
READ: DEBUG: X-18.0000, Y-9.0000, Z-0.0188
READ: DEBUG: X-9.0000, Y-9.0000, Z-0.0063
READ: DEBUG: X0.0000, Y-9.0000, Z0.0188
READ: DEBUG: X9.0000, Y-9.0000, Z-0.0188
READ: DEBUG: X18.0000, Y-9.0000, Z-0.0563
READ: DEBUG: X27.0000, Y-9.0000, Z-0.0688
READ: DEBUG: X36.0000, Y-9.0000, Z-0.1188
READ: DEBUG: X45.0000, Y-9.0000, Z-0.2250
READ: DEBUG: X54.0000, Y-9.0000, Z-0.3125
READ: DEBUG: X63.0000, Y-9.0000, Z-0.3813
READ: DEBUG: X72.0000, Y-9.0000, Z-0.5313
READ: DEBUG: X81.0000, Y-9.0000, Z-0.5875
READ: DEBUG: X90.0000, Y0.0000, Z-0.7125
READ: DEBUG: X81.0000, Y0.0000, Z-0.5875
READ: DEBUG: X72.0000, Y0.0000, Z-0.5375
READ: DEBUG: X63.0000, Y0.0000, Z-0.3750
READ: DEBUG: X54.0000, Y0.0000, Z-0.2063
READ: DEBUG: X45.0000, Y0.0000, Z-0.2625
READ: DEBUG: X36.0000, Y0.0000, Z-0.1375
READ: DEBUG: X27.0000, Y0.0000, Z-0.0125
READ: DEBUG: X18.0000, Y0.0000, Z-0.0375
READ: DEBUG: X9.0000, Y0.0000, Z-0.0188
READ: DEBUG: X0.0000, Y0.0000, Z0.0125
READ: DEBUG: X-9.0000, Y0.0000, Z-0.0188
READ: DEBUG: X-18.0000, Y0.0000, Z-0.0250
READ: DEBUG: X-27.0000, Y0.0000, Z-0.0188
READ: DEBUG: X-36.0000, Y0.0000, Z-0.1250
READ: DEBUG: X-45.0000, Y0.0000, Z-0.1438
READ: DEBUG: X-54.0000, Y0.0000, Z-0.3562
READ: DEBUG: X-63.0000, Y0.0000, Z-0.4875
READ: DEBUG: X-72.0000, Y0.0000, Z-0.6062
READ: DEBUG: X-81.0000, Y0.0000, Z-0.7563
READ: DEBUG: X-90.0000, Y0.0000, Z-0.9188
READ: DEBUG: X-81.0000, Y9.0000, Z-0.7688
READ: DEBUG: X-72.0000, Y9.0000, Z-0.5438
READ: DEBUG: X-63.0000, Y9.0000, Z-0.4875
READ: DEBUG: X-54.0000, Y9.0000, Z-0.3813
READ: DEBUG: X-45.0000, Y9.0000, Z-0.2625
READ: DEBUG: X-36.0000, Y9.0000, Z-0.2125
READ: DEBUG: X-27.0000, Y9.0000, Z-0.1688
READ: DEBUG: X-18.0000, Y9.0000, Z-0.0875
READ: DEBUG: X-9.0000, Y9.0000, Z-0.0500
READ: DEBUG: X0.0000, Y9.0000, Z-0.0312
READ: DEBUG: X9.0000, Y9.0000, Z-0.0750
READ: DEBUG: X18.0000, Y9.0000, Z-0.1062
READ: DEBUG: X27.0000, Y9.0000, Z-0.0938
READ: DEBUG: X36.0000, Y9.0000, Z-0.1125
READ: DEBUG: X45.0000, Y9.0000, Z-0.2312
READ: DEBUG: X54.0000, Y9.0000, Z-0.3063
READ: DEBUG: X63.0000, Y9.0000, Z-0.4187
READ: DEBUG: X72.0000, Y9.0000, Z-0.5000
READ: DEBUG: X81.0000, Y9.0000, Z-0.6062
READ: DEBUG: X81.0000, Y18.0000, Z-0.6438
READ: DEBUG: X72.0000, Y18.0000, Z-0.5625
READ: DEBUG: X63.0000, Y18.0000, Z-0.4188
READ: DEBUG: X54.0000, Y18.0000, Z-0.3063
READ: DEBUG: X45.0000, Y18.0000, Z-0.2188
READ: DEBUG: X36.0000, Y18.0000, Z-0.1688
READ: DEBUG: X27.0000, Y18.0000, Z-0.1687
READ: DEBUG: X18.0000, Y18.0000, Z-0.0500
READ: DEBUG: X9.0000, Y18.0000, Z-0.0750
READ: DEBUG: X0.0000, Y18.0000, Z-0.0437
READ: DEBUG: X-9.0000, Y18.0000, Z-0.1000
READ: DEBUG: X-18.0000, Y18.0000, Z-0.1438
READ: DEBUG: X-27.0000, Y18.0000, Z-0.1438
READ: DEBUG: X-36.0000, Y18.0000, Z-0.2125
READ: DEBUG: X-45.0000, Y18.0000, Z-0.3250
READ: DEBUG: X-54.0000, Y18.0000, Z-0.4188
READ: DEBUG: X-63.0000, Y18.0000, Z-0.5625
READ: DEBUG: X-72.0000, Y18.0000, Z-0.5750
READ: DEBUG: X-81.0000, Y18.0000, Z-0.8313
READ: DEBUG: X-81.0000, Y27.0000, Z-0.7875
READ: DEBUG: X-72.0000, Y27.0000, Z-0.7000
READ: DEBUG: X-63.0000, Y27.0000, Z-0.5813
READ: DEBUG: X-54.0000, Y27.0000, Z-0.4625
READ: DEBUG: X-45.0000, Y27.0000, Z-0.3500
READ: DEBUG: X-36.0000, Y27.0000, Z-0.2000
READ: DEBUG: X-27.0000, Y27.0000, Z-0.1375
READ: DEBUG: X-18.0000, Y27.0000, Z-0.1875
READ: DEBUG: X-9.0000, Y27.0000, Z-0.1187
READ: DEBUG: X0.0000, Y27.0000, Z-0.0938
READ: DEBUG: X9.0000, Y27.0000, Z-0.1125
READ: DEBUG: X18.0000, Y27.0000, Z-0.1562
READ: DEBUG: X27.0000, Y27.0000, Z-0.1562
READ: DEBUG: X36.0000, Y27.0000, Z-0.2125
READ: DEBUG: X45.0000, Y27.0000, Z-0.2437
READ: DEBUG: X54.0000, Y27.0000, Z-0.3188
READ: DEBUG: X63.0000, Y27.0000, Z-0.3813
READ: DEBUG: X72.0000, Y27.0000, Z-0.5563
READ: DEBUG: X81.0000, Y27.0000, Z-0.6687
READ: DEBUG: X81.0000, Y36.0000, Z-0.6875
READ: DEBUG: X72.0000, Y36.0000, Z-0.6125
READ: DEBUG: X63.0000, Y36.0000, Z-0.5188
READ: DEBUG: X54.0000, Y36.0000, Z-0.4500
READ: DEBUG: X45.0000, Y36.0000, Z-0.3438
READ: DEBUG: X36.0000, Y36.0000, Z-0.2438
READ: DEBUG: X27.0000, Y36.0000, Z-0.2000
READ: DEBUG: X18.0000, Y36.0000, Z-0.2250
READ: DEBUG: X9.0000, Y36.0000, Z-0.1250
READ: DEBUG: X0.0000, Y36.0000, Z-0.0938
READ: DEBUG: X-9.0000, Y36.0000, Z-0.1437
READ: DEBUG: X-18.0000, Y36.0000, Z-0.2875
READ: DEBUG: X-27.0000, Y36.0000, Z-0.2500
READ: DEBUG: X-36.0000, Y36.0000, Z-0.2375
READ: DEBUG: X-45.0000, Y36.0000, Z-0.3688
READ: DEBUG: X-54.0000, Y36.0000, Z-0.5187
READ: DEBUG: X-63.0000, Y36.0000, Z-0.5438
READ: DEBUG: X-72.0000, Y36.0000, Z-0.7500
READ: DEBUG: X-81.0000, Y36.0000, Z-0.8563
READ: DEBUG: X-72.0000, Y45.0000, Z-0.7500
READ: DEBUG: X-63.0000, Y45.0000, Z-0.6625
READ: DEBUG: X-54.0000, Y45.0000, Z-0.5500
READ: DEBUG: X-45.0000, Y45.0000, Z-0.5125
READ: DEBUG: X-36.0000, Y45.0000, Z-0.3875
READ: DEBUG: X-27.0000, Y45.0000, Z-0.3563
READ: DEBUG: X-18.0000, Y45.0000, Z-0.2813
READ: DEBUG: X-9.0000, Y45.0000, Z-0.2625
READ: DEBUG: X0.0000, Y45.0000, Z-0.2812
READ: DEBUG: X9.0000, Y45.0000, Z-0.2750
READ: DEBUG: X18.0000, Y45.0000, Z-0.2500
READ: DEBUG: X27.0000, Y45.0000, Z-0.3813
READ: DEBUG: X36.0000, Y45.0000, Z-0.3750
READ: DEBUG: X45.0000, Y45.0000, Z-0.4438
READ: DEBUG: X54.0000, Y45.0000, Z-0.5187
READ: DEBUG: X63.0000, Y45.0000, Z-0.6375
READ: DEBUG: X72.0000, Y45.0000, Z-0.7063
READ: DEBUG: X72.0000, Y54.0000, Z-0.7125
READ: DEBUG: X63.0000, Y54.0000, Z-0.6063
READ: DEBUG: X54.0000, Y54.0000, Z-0.5500
READ: DEBUG: X45.0000, Y54.0000, Z-0.5188
READ: DEBUG: X36.0000, Y54.0000, Z-0.3875
READ: DEBUG: X27.0000, Y54.0000, Z-0.3375
READ: DEBUG: X18.0000, Y54.0000, Z-0.3250
READ: DEBUG: X9.0000, Y54.0000, Z-0.3937
READ: DEBUG: X0.0000, Y54.0000, Z-0.3563
READ: DEBUG: X-9.0000, Y54.0000, Z-0.3312
READ: DEBUG: X-18.0000, Y54.0000, Z-0.4000
READ: DEBUG: X-27.0000, Y54.0000, Z-0.4000
READ: DEBUG: X-36.0000, Y54.0000, Z-0.5125
READ: DEBUG: X-45.0000, Y54.0000, Z-0.5375
READ: DEBUG: X-54.0000, Y54.0000, Z-0.7250
READ: DEBUG: X-63.0000, Y54.0000, Z-0.8188
READ: DEBUG: X-72.0000, Y54.0000, Z-0.8937
READ: DEBUG: X-63.0000, Y63.0000, Z-0.7812
READ: DEBUG: X-54.0000, Y63.0000, Z-0.7188
READ: DEBUG: X-45.0000, Y63.0000, Z-0.6250
READ: DEBUG: X-36.0000, Y63.0000, Z-0.5625
READ: DEBUG: X-27.0000, Y63.0000, Z-0.4500
READ: DEBUG: X-18.0000, Y63.0000, Z-0.4500
READ: DEBUG: X-9.0000, Y63.0000, Z-0.4625
READ: DEBUG: X0.0000, Y63.0000, Z-0.4500
READ: DEBUG: X9.0000, Y63.0000, Z-0.4750
READ: DEBUG: X18.0000, Y63.0000, Z-0.4688
READ: DEBUG: X27.0000, Y63.0000, Z-0.5625
READ: DEBUG: X36.0000, Y63.0000, Z-0.5312
READ: DEBUG: X45.0000, Y63.0000, Z-0.6250
READ: DEBUG: X54.0000, Y63.0000, Z-0.6313
READ: DEBUG: X63.0000, Y63.0000, Z-0.7750
READ: DEBUG: X54.0000, Y72.0000, Z-0.7500
READ: DEBUG: X45.0000, Y72.0000, Z-0.6750
